reward_max	reward_mean	time
-214.0718345016283	-555.6354862655207	11.160281658172607
-189.03917694062145	-557.8755990424949	16.429987907409668
-180.25059899666547	-550.6412959530717	22.225504636764526
-209.66814257114612	-610.0128796390364	28.942683696746826
-208.74883366669496	-699.7460222007501	36.94028949737549
-209.83463540985719	-655.7329163430373	44.311139822006226
-166.61209899915485	-696.4106826216455	51.88691020011902
-103.99084458976968	-616.5011192425816	59.07369422912598
-204.1999987549295	-626.1147311019071	66.66270542144775
-174.95870372304918	-512.2641675507924	72.13014221191406
-127.51338093161866	-528.5710222235773	77.89616084098816
-159.15669882376955	-500.35516136104764	83.67606115341187
-223.6518743504073	-561.5386986630962	89.73713493347168
-227.94224767121494	-575.6936166247996	96.17312622070312
-192.73570797289017	-581.3064444857225	102.39041781425476
-175.875339015247	-576.5174082476221	108.65675044059753
-201.67045787090643	-508.53337857896196	114.56161737442017
-150.3431046507427	-649.2956778541081	122.55977272987366
-197.78536923194014	-600.0707363998656	129.60496425628662
-152.8264755693949	-567.7640707037755	135.4630024433136
-181.4407273013319	-545.648070290956	141.5490825176239
-230.974273114247	-558.5270758270894	147.21962571144104
-156.8462071524673	-567.5316438234362	153.4525113105774
-176.5857107257198	-556.8878249966439	159.20116233825684
-198.41903225679937	-535.7719214395562	164.9018428325653
-283.0621873511683	-595.6740808410248	170.86177444458008
-235.94366614748105	-604.5930107449719	177.28214406967163
-177.59703184987507	-551.2681460995509	182.95272064208984
-221.49676214169614	-529.4377537691723	187.74847149848938
-242.2197963511251	-529.7142691548561	192.87227034568787
-118.4025851703399	-519.9171930275226	197.0431673526764
-243.80978518174166	-576.9686153944808	202.7441143989563
-180.70703461184578	-562.7651516903668	208.77394771575928
-229.6917544994811	-593.707276651096	215.55361199378967
-195.4148191610713	-521.7742388285395	221.08353352546692
-195.8324154457143	-579.6820457147062	227.64082789421082
-275.9632918619122	-548.0359287714624	232.33098793029785
-207.42883091377212	-527.0223642343275	238.15774750709534
-229.287338236203	-545.0179094267061	243.7658338546753
-188.70000638915064	-557.8739715691353	248.6396999359131
-270.7160913524391	-564.6726186562144	253.294851064682
-200.1815329020361	-521.3216382725426	259.5433921813965
-143.61759022252917	-545.3538490292275	264.52109241485596
-284.82139272796917	-568.6662389160533	270.72272968292236
-260.959433039517	-592.0475521525708	277.00250697135925
-271.8789773177076	-552.1026743588845	282.3762481212616
-266.3998100805663	-586.7469385651592	289.2844030857086
-305.8465660767864	-607.9911944037943	295.82863688468933
-268.8788245414232	-582.9594929438332	302.43649530410767
-286.4941758250204	-561.7735928397606	308.8412117958069
-307.12795443271534	-574.6596997796745	314.32430052757263
-245.26878711285002	-580.8216098781792	320.1666820049286
-261.0924229121713	-605.276458754739	326.72414231300354
-215.79131320207085	-612.8036796347034	333.956791639328
-190.7680585736313	-534.2498912170435	339.67423248291016
-234.69231403864373	-586.0264817285077	345.79288268089294
-242.1324324152433	-515.6075188218927	350.9443893432617
-272.97635428506624	-529.8364724001121	356.89458775520325
-253.3888351773114	-637.6854378826122	365.04889273643494
-229.74147989953707	-533.3380916055459	371.3755362033844
-226.11457293112665	-669.9904089371739	379.1549611091614
-191.70384742964026	-516.6748724735489	384.356867313385
-257.94103750360796	-599.9011950795251	391.23584032058716
-262.1431959536453	-565.2806701003044	395.90662240982056
-261.03498065773204	-552.6627044430317	400.9835555553436
-162.19389601891072	-541.0210309107061	405.93911266326904
-293.38522248474726	-552.9507552938746	411.08332562446594
-301.03931296124586	-524.3479397004019	416.36124658584595
-258.7672790559155	-588.1104690184392	422.1965928077698
-268.3570561703582	-631.8469615048344	428.58104491233826
-272.7124956911995	-577.8231144037884	434.84520053863525
-173.25659455688395	-590.9029720321957	440.7032129764557
-293.1785219332846	-636.1915676625802	448.1112036705017
-201.02139825941904	-561.6676652841168	455.000212430954
-193.92670641769473	-646.8523316694836	464.2905271053314
-244.62636926771196	-546.2384012362833	471.12460827827454
-212.29755531034095	-535.8708041048196	478.0761013031006
-197.87755338644922	-562.9076769565196	484.650869846344
-189.45174285321252	-546.4673471762966	490.4151437282562
-182.9288435745844	-603.4991494294864	496.16379594802856
-183.97508410556662	-633.6564407419933	502.28739166259766
-124.53328321031343	-669.0219208675454	510.0070629119873
-142.446137269188	-561.071071746377	516.73983335495
-196.9355464591908	-534.8471693869883	522.6305148601532
-141.4164242495586	-542.7797715342837	528.5147202014923
-172.25954103106477	-613.2217912431339	535.2475435733795
-221.11362255620492	-596.0642164171591	541.9399647712708
-205.81091946786324	-582.9528572749775	548.1884982585907
-163.97977865644825	-559.5834094287386	554.3433046340942
-200.82715650612914	-556.5427971416672	560.0607154369354
-206.07012711785	-603.1351142809788	567.1683912277222
-176.07403456532325	-553.3892104146461	574.1514978408813
-186.37393477645648	-622.4970453958607	583.309042930603
-168.49625613709753	-632.9602186126889	592.0617649555206
-160.63493754443175	-618.5801420782649	599.6381149291992
-166.58221087521682	-605.2502261622444	606.726350069046
