reward_max	reward_mean	time
-269.4144372230187	-565.9575987667832	14.215447664260864
-250.9053515737127	-573.7092377214314	19.745370388031006
-266.0872268593257	-621.2385346609101	25.33783507347107
-256.82930067859036	-554.2392804887796	30.087440013885498
-262.34654735618926	-626.1046350687952	36.77054738998413
-286.6028430081951	-543.03123100628	42.03447461128235
-298.25806309390657	-616.2459665847381	47.472901582717896
-277.0719479572783	-599.920154187933	52.833606481552124
-251.34604872727138	-681.2277092141135	58.672990798950195
-296.8726199143132	-570.7840436766336	62.87582039833069
-307.99875695072683	-643.9411486426114	66.95295286178589
-341.22926954750244	-592.541985453148	70.6083779335022
-291.71123168172255	-607.7314184596106	75.35726165771484
-226.72490350467075	-645.7835147465587	79.24697828292847
-231.467195129955	-666.9891475001851	82.63680791854858
-322.82894843195254	-635.0669815024589	86.26096248626709
-289.57698112591623	-658.7415092931952	89.69634699821472
-280.94398004729806	-690.2158799207924	93.24239110946655
-276.87464707904746	-653.3718900491318	96.76950550079346
-256.2929399360378	-641.9912045818842	100.63565039634705
-258.8094821633209	-666.6392879364741	104.11920642852783
-309.67113266823003	-720.3940777110702	107.8058443069458
-221.99766642710972	-710.885880415214	111.42999482154846
-286.66962929517365	-749.6647014987299	115.21035838127136
-319.3127466504318	-750.7909842007172	118.78761267662048
-241.46882286245165	-750.2809987791949	122.41870427131653
-293.8125635736187	-758.9334882343982	126.30841970443726
-302.84340208837745	-757.1006795399597	129.96380949020386
-271.6139097931016	-760.4084701257195	133.55671763420105
-244.3730237210357	-705.3452613949912	137.35270309448242
-312.86634468636225	-806.2786759446376	141.117413520813
-238.61022358778618	-776.4643769663797	144.7415952682495
-304.09499857738206	-751.4260315500896	148.33450365066528
-262.4534733593164	-735.4436355827249	151.97429180145264
-267.34654424191274	-691.9131265984621	155.55157852172852
-299.09896647104597	-772.4191730503674	159.35581398010254
-323.19611367031007	-707.972477115767	162.93310141563416
-242.31959922439356	-658.4789064344491	166.76032829284668
-260.9779398526509	-738.4794120123862	170.4782075881958
-282.3792875779191	-690.4509465069397	174.1335997581482
-298.98227030219414	-723.0186501043291	177.80458235740662
-306.04305788548595	-671.1571857563506	181.3662474155426
-270.18467532880044	-662.1810477363687	186.05314779281616
-273.5071940974431	-690.8688907102295	190.2084240913391
-251.02395377173536	-703.9186328236788	194.92606782913208
-227.98897683680937	-643.1118076979443	198.98761987686157
-260.6683992191322	-645.3389697360151	202.79922223091125
-274.33010922578063	-654.5020808777869	207.78242945671082
-247.17177717975628	-653.2023241043312	211.6096580028534
-169.88523622166525	-775.4335077993927	216.22352647781372
-251.61291200405327	-575.1679972496067	219.99895191192627
-223.5226457390146	-667.3826389843716	224.209557056427
-291.74229370243296	-706.3140238589114	228.66164326667786
-223.53761046453906	-710.4985156570867	232.6919469833374
-277.8544312007245	-727.1079711329064	236.51913952827454
-229.9567035919724	-635.4167321503878	240.23743605613708
-246.0438136302054	-550.6735823559866	245.19135403633118
-265.17786656217015	-602.3783525729283	250.56509399414062
-272.8599155940027	-596.613185660516	255.5483000278473
-255.4048346272744	-609.3522143239652	260.98452520370483
-261.03747967897175	-703.1951803134201	267.5923202037811
-191.74763327663487	-620.6700516753448	273.15354800224304
-225.72022198826642	-608.7106029246423	277.4983584880829
-279.7560099038077	-583.5590705372065	282.41920018196106
-234.994696345925	-594.7693023582752	287.37196135520935
-190.11978546348095	-735.8135885956302	292.30477809906006
-192.83054332652995	-688.7422714833866	296.85237979888916
-233.11737393238414	-711.4734971129136	301.8043477535248
-203.8366457083115	-708.2710777600604	307.1485946178436
-194.46086298773798	-710.6855497039082	312.39736557006836
-233.44518961195914	-659.7420755830302	317.81796979904175
-212.00080802981643	-603.3211030166742	322.9573903083801
-222.3371982928578	-636.4421739050861	328.8153929710388
-205.02830081350774	-587.5887035511797	333.9704329967499
-212.1983884501787	-574.2990207620192	339.1789836883545
-187.26472412533587	-582.3089104324544	344.9286096096039
-247.07156491971872	-619.4351294041165	350.8108832836151
-230.280055373037	-594.5599309118788	356.14761567115784
-214.84457648269097	-530.0332780560826	360.22825956344604
-210.22797090540683	-591.334966255535	365.52392411231995
-198.12628214330857	-649.545125579299	370.7209758758545
-220.5642679282434	-596.9077033724562	375.71980333328247
-194.19215826703308	-647.6411369530852	381.5778057575226
-267.366873206018	-759.69774309266	387.65447473526
-264.3700222867085	-735.8194996469356	393.0907316207886
-281.1399353928193	-634.2716552490549	398.3458490371704
-275.07730432776816	-653.4396982987796	404.42647099494934
-241.13072736446443	-701.1044332916744	411.3576850891113
-267.7711905111777	-537.3221040837311	415.7160370349884
-237.71927843454262	-651.4986420746612	422.14260935783386
-176.95090871004425	-597.6292405150782	427.7506685256958
-203.96549172783034	-624.5062228471759	433.4713170528412
-218.95520884484182	-609.6274094750592	439.1262722015381
-231.1526633734238	-589.0472109218215	444.23444962501526
-191.57649783256775	-573.8596714494327	449.51823377609253
-222.4592889444574	-604.4547710537082	455.8558421134949
-209.7958607849772	-566.3015408065589	461.45029377937317
-278.78121704277817	-593.3283093960702	466.902138710022
-192.27876851767468	-594.5427442220765	471.85410809516907
-207.80564925379875	-681.9474226596265	477.8214557170868
-195.6377410824794	-560.5207893224568	482.18590784072876
-218.6810905961938	-636.1981265215712	487.4659206867218
-196.27638115200295	-662.2242533679754	493.2582664489746
-271.54925709716645	-686.6650770747339	499.2725124359131
-292.7737818375222	-642.223325761899	504.7087426185608
-290.76635275261924	-673.8712764254851	509.89501953125
-280.9711537768815	-601.0051487853633	514.518935918808
-221.2370036727486	-655.6181276651369	520.6221249103546
-239.67048953268161	-602.5088442827649	526.0451571941376
-203.92404113701542	-608.8860575478038	531.3407909870148
-254.9054933091025	-600.6764862296618	535.9178104400635
-257.32985714217875	-626.9929433343591	541.0103995800018
-210.06916618788154	-621.6202143589068	546.0404374599457
-280.4487796759664	-679.8437585311801	551.6485307216644
-219.8207462204557	-671.4039519986029	557.634124994278
-218.33608838152378	-672.1118103823451	563.5077545642853
-279.99532948935325	-624.8256061418748	569.0689458847046
-270.206868286189	-635.7845067004238	574.7551121711731
-207.8033448137669	-575.7192143594465	580.1652362346649
-195.2869126654336	-653.0989710239702	586.8655121326447
-211.98605846213496	-651.4064790252756	592.9734246730804
-214.2749780776466	-641.8617709203614	598.4096813201904
-198.41057389024007	-657.9605341883772	603.9552590847015
