reward_max	reward_mean	time
-200.0	-200.0	5.7955076694488525
-200.0	-200.0	8.763608932495117
-200.0	-200.0	11.778507232666016
-200.0	-200.0	14.889013290405273
-200.0	-200.0	17.841457843780518
-200.0	-200.0	20.606446743011475
-200.0	-200.0	23.465132474899292
-200.0	-200.0	26.214532136917114
-200.0	-200.0	28.917033195495605
-200.0	-200.0	31.63516139984131
-200.0	-200.0	34.33766436576843
-200.0	-200.0	37.10262155532837
-200.0	-200.0	39.836400508880615
-200.0	-200.0	42.554529666900635
-200.0	-200.0	45.26154947280884
-200.0	-200.0	47.96405363082886
-200.0	-200.0	50.682177782058716
-200.0	-200.0	53.58925700187683
-200.0	-200.0	56.30942630767822
-200.0	-200.0	59.011929988861084
-200.0	-200.0	61.73005771636963
-169.0	-199.65934065934067	64.44818043708801
-111.0	-196.97802197802199	67.11943984031677
-111.0	-198.32967032967034	69.80632305145264
-93.0	-197.17582417582418	72.50882577896118
-140.0	-198.71428571428572	75.20630264282227
-84.0	-196.27472527472528	77.89318442344666
-160.0	-198.30769230769232	80.59568858146667
-113.0	-198.17582417582418	83.31381297111511
-115.0	-198.7032967032967	86.01631665229797
-87.0	-196.13186813186815	88.71882033348083
-119.0	-197.1868131868132	91.39008092880249
-117.0	-196.63736263736263	94.09258508682251
-86.0	-196.3846153846154	96.77946710586548
-118.0	-197.57142857142858	99.45072722434998
-117.0	-197.69230769230768	102.15323114395142
-86.0	-197.2087912087912	104.82449340820312
-85.0	-196.65934065934067	107.52223181724548
-115.0	-198.42857142857142	110.3184585571289
-121.0	-198.3186813186813	113.06701350212097
-118.0	-195.1868131868132	115.77475333213806
-113.0	-197.15384615384616	118.46856355667114
-111.0	-198.0	121.1583845615387
-111.0	-195.6043956043956	123.86220002174377
-112.0	-197.21978021978023	126.59690165519714
-102.0	-194.34065934065933	129.28871774673462
-132.0	-196.72527472527472	132.00746035575867
-130.0	-198.02197802197801	134.76210618019104
-108.0	-194.78021978021977	137.45701479911804
-108.0	-195.0	140.11265397071838
-84.0	-195.1098901098901	142.7682933807373
-111.0	-195.1978021978022	145.40831112861633
-113.0	-195.78021978021977	148.07957124710083
-112.0	-196.3956043956044	150.75083184242249
-91.0	-195.6813186813187	153.42209339141846
-133.0	-198.3846153846154	156.09335255622864
-101.0	-194.71428571428572	158.74899172782898
-98.0	-197.6153846153846	161.4202539920807
-115.0	-198.57142857142858	164.10713505744934
-181.0	-199.7912087912088	166.82526016235352
-117.0	-194.95604395604394	169.470520734787
-112.0	-195.74725274725276	172.24279260635376
-116.0	-195.25274725274724	174.9889280796051
-122.0	-197.5934065934066	177.68806099891663
-121.0	-198.13186813186815	180.49988198280334
-111.0	-194.57142857142858	183.2180392742157
-93.0	-195.6153846153846	185.85806322097778
-115.0	-198.47252747252747	188.54493951797485
-145.0	-199.03296703296704	191.2474479675293
-158.0	-199.24175824175825	193.96557450294495
-134.0	-197.56043956043956	196.66807103157043
-117.0	-197.78021978021977	199.3638756275177
-139.0	-197.0989010989011	202.0663468837738
-110.0	-198.01098901098902	204.83133745193481
-110.0	-198.30769230769232	207.5494933128357
-116.0	-197.3186813186813	210.22075486183167
-112.0	-194.27472527472528	212.86077165603638
-119.0	-197.0879120879121	215.53203320503235
-104.0	-198.94505494505495	218.2657811641693
-85.0	-197.56043956043956	220.96828293800354
-91.0	-191.13186813186815	223.5770571231842
-104.0	-192.78021978021977	226.2170751094818
-106.0	-197.5164835164835	228.87271547317505
-133.0	-194.8021978021978	231.5123381614685
-86.0	-193.36263736263737	234.2780134677887
-88.0	-196.35164835164835	236.95444011688232
-91.0	-194.69230769230768	239.57883858680725
-95.0	-194.34065934065933	242.21885514259338
-120.0	-196.17582417582418	244.90394520759583
-117.0	-195.02197802197801	247.62203788757324
-121.0	-198.8021978021978	250.4182698726654
-111.0	-194.78021978021977	253.15204572677612
-107.0	-195.05494505494505	255.80769419670105
-110.0	-194.57142857142858	258.4477062225342
-111.0	-193.26373626373626	261.12743306159973
-90.0	-195.14285714285714	263.8299674987793
-90.0	-190.58241758241758	266.4699532985687
-130.0	-196.94505494505495	269.2349808216095
-110.0	-194.6153846153846	271.95306754112244
-89.0	-194.92307692307693	274.718056678772
-99.0	-196.63736263736263	277.4986672401428
-112.0	-194.93406593406593	280.2480351924896
-111.0	-195.21978021978023	282.9974043369293
-110.0	-192.06593406593407	285.6999385356903
-111.0	-194.69230769230768	288.4180314540863
-84.0	-191.17582417582418	291.1049451828003
-84.0	-191.6813186813187	293.8935031890869
-147.0	-197.23076923076923	296.6499216556549
-136.0	-193.7032967032967	299.2899401187897
-124.0	-197.07692307692307	301.976824760437
-93.0	-191.67032967032966	304.6324305534363
-90.0	-194.14285714285714	307.33493423461914
-107.0	-197.05494505494505	310.0374689102173
-125.0	-197.52747252747253	312.7243552207947
-101.0	-194.17582417582418	315.379989862442
-112.0	-196.65934065934067	318.0512511730194
-110.0	-194.87912087912088	320.6912684440613
-110.0	-196.8131868131868	323.36627411842346
-111.0	-198.1978021978022	326.0531556606293
-112.0	-194.32967032967034	328.70879554748535
-122.0	-198.94505494505495	331.4425423145294
-116.0	-195.78021978021977	334.1138000488281
-86.0	-193.41758241758242	336.7381966114044
-120.0	-198.37362637362637	339.4407033920288
-116.0	-196.3846153846154	342.1119656562805
-86.0	-196.9010989010989	344.79884576797485
-110.0	-197.15384615384616	347.47010827064514
-109.0	-195.78021978021977	350.1257450580597
-106.0	-198.5164835164835	352.9782054424286
-111.0	-196.0989010989011	355.6963086128235
-110.0	-195.53846153846155	358.36757040023804
-88.0	-193.5934065934066	361.00758695602417
-85.0	-196.0	363.74130177497864
-136.0	-196.94505494505495	366.4282145500183
-132.0	-196.8021978021978	369.1619613170624
-117.0	-195.26373626373626	371.83322525024414
-121.0	-197.07692307692307	374.5201072692871
-88.0	-197.83516483516485	377.1913650035858
-89.0	-192.86813186813185	379.81576132774353
